q2,val,stat_err,pdf_err+,pdf_err-
1.000e+01,3.583e-01,2.281e-03,0.000e+00,0.000e+00
1.611e+01,3.488e-01,2.218e-03,0.000e+00,0.000e+00
2.222e+01,3.427e-01,2.178e-03,0.000e+00,0.000e+00
2.833e+01,3.381e-01,2.152e-03,0.000e+00,0.000e+00
3.444e+01,3.352e-01,2.135e-03,0.000e+00,0.000e+00
4.056e+01,3.320e-01,2.114e-03,0.000e+00,0.000e+00
4.667e+01,3.300e-01,2.103e-03,0.000e+00,0.000e+00
5.278e+01,3.280e-01,2.088e-03,0.000e+00,0.000e+00
5.889e+01,3.255e-01,2.072e-03,0.000e+00,0.000e+00
6.500e+01,3.244e-01,2.069e-03,0.000e+00,0.000e+00
