#: E(P=1) [GeV],27.6
#: E(P=2) [GeV],820.0
#: RE,E+ P --> E+ P
#: SQRT(S) [GeV],300.0,,,,
Q**2 [GEV**2],X,Y,SIG(C=REDUCED),stat +,stat -,sys +,sys -
10.0,0.00253,0.044,0.761,0.015,-0.015,0.018,-0.018
10.0,0.005,0.022,0.624,0.007,-0.007,0.018,-0.018
10.0,0.021,0.005,0.503,0.006,-0.006,0.034,-0.034
12.0,0.000253,0.526,1.322,0.034,-0.034,0.099,-0.099
12.0,0.0004,0.333,1.191,0.027,-0.027,0.032,-0.032
12.0,0.000632,0.211,1.07,0.022,-0.022,0.025,-0.025
12.0,0.00102,0.13,0.983,0.02,-0.02,0.019,-0.019
12.0,0.00161,0.083,0.899,0.02,-0.02,0.014,-0.014
12.0,0.00253,0.053,0.793,0.017,-0.017,0.015,-0.015
15.0,0.000253,0.657,1.397,0.041,-0.041,0.106,-0.106
15.0,0.0004,0.416,1.258,0.029,-0.029,0.047,-0.047
15.0,0.000632,0.263,1.137,0.023,-0.023,0.025,-0.025
15.0,0.00102,0.163,1.055,0.02,-0.02,0.02,-0.02
15.0,0.00161,0.103,0.944,0.021,-0.021,0.015,-0.015
15.0,0.00253,0.066,0.836,0.018,-0.018,0.013,-0.013
15.0,0.005,0.033,0.706,0.011,-0.011,0.011,-0.011
15.0,0.021,0.008,0.519,0.005,-0.005,0.036,-0.036
18.0,0.0005,0.399,1.284,0.024,-0.024,0.053,-0.053
18.0,0.0008,0.249,1.157,0.025,-0.025,0.028,-0.028
18.0,0.0013,0.154,1.038,0.021,-0.021,0.023,-0.023
18.0,0.0021,0.095,0.929,0.021,-0.021,0.015,-0.015
18.0,0.0032,0.062,0.851,0.02,-0.02,0.015,-0.015
18.0,0.005,0.04,0.739,0.013,-0.013,0.013,-0.013
22.0,0.0005,0.488,1.357,0.034,-0.034,0.054,-0.054
22.0,0.0008,0.305,1.267,0.028,-0.028,0.024,-0.024
22.0,0.0013,0.188,1.065,0.024,-0.024,0.024,-0.024
22.0,0.0021,0.116,1.001,0.027,-0.027,0.02,-0.02
22.0,0.0032,0.076,0.905,0.024,-0.024,0.015,-0.015
22.0,0.005,0.049,0.771,0.019,-0.019,0.013,-0.013
22.0,0.008,0.03,0.656,0.016,-0.016,0.011,-0.011
22.0,0.013,0.019,0.581,0.012,-0.012,0.033,-0.033
22.0,0.032,0.008,0.512,0.009,-0.009,0.035,-0.035
27.0,0.0005,0.599,1.497,0.049,-0.049,0.06,-0.06
27.0,0.0008,0.374,1.294,0.032,-0.032,0.028,-0.028
27.0,0.0013,0.23,1.181,0.027,-0.027,0.032,-0.032
27.0,0.0021,0.143,1.095,0.031,-0.031,0.019,-0.019
27.0,0.0032,0.094,0.901,0.024,-0.024,0.019,-0.019
27.0,0.005,0.06,0.804,0.02,-0.02,0.02,-0.02
27.0,0.008,0.037,0.731,0.019,-0.019,0.02,-0.02
27.0,0.013,0.023,0.634,0.013,-0.013,0.018,-0.018
35.0,0.0008,0.485,1.404,0.021,-0.021,0.041,-0.041
35.0,0.0013,0.298,1.225,0.017,-0.017,0.022,-0.022
35.0,0.0021,0.185,1.108,0.018,-0.018,0.018,-0.018
35.0,0.0032,0.121,0.961,0.016,-0.016,0.015,-0.015
35.0,0.005,0.078,0.864,0.014,-0.014,0.013,-0.013
35.0,0.008,0.049,0.727,0.012,-0.012,0.013,-0.013
35.0,0.013,0.03,0.646,0.012,-0.012,0.014,-0.014
35.0,0.021,0.018,0.555,0.01,-0.01,0.016,-0.016
35.0,0.032,0.012,0.496,0.005,-0.005,0.038,-0.038
45.0,0.0008,0.624,1.482,0.027,-0.027,0.053,-0.053
45.0,0.0013,0.384,1.297,0.017,-0.017,0.027,-0.027
45.0,0.0021,0.238,1.131,0.019,-0.019,0.019,-0.019
45.0,0.0032,0.156,0.998,0.015,-0.015,0.015,-0.015
45.0,0.005,0.1,0.909,0.013,-0.013,0.012,-0.012
45.0,0.008,0.062,0.777,0.011,-0.011,0.012,-0.012
45.0,0.013,0.038,0.661,0.011,-0.011,0.011,-0.011
45.0,0.021,0.024,0.587,0.01,-0.01,0.012,-0.012
60.0,0.0013,0.512,1.387,0.018,-0.018,0.031,-0.031
60.0,0.0021,0.317,1.213,0.018,-0.018,0.022,-0.022
60.0,0.0032,0.208,1.074,0.016,-0.016,0.016,-0.016
60.0,0.005,0.133,0.9,0.013,-0.013,0.013,-0.013
60.0,0.008,0.083,0.809,0.011,-0.011,0.012,-0.012
60.0,0.013,0.051,0.689,0.012,-0.012,0.013,-0.013
60.0,0.021,0.032,0.598,0.01,-0.01,0.014,-0.014
60.0,0.032,0.021,0.537,0.011,-0.011,0.018,-0.018
60.0,0.05,0.013,0.512,0.008,-0.008,0.035,-0.035
70.0,0.0013,0.597,1.438,0.026,-0.026,0.032,-0.032
70.0,0.0021,0.37,1.238,0.021,-0.021,0.024,-0.024
70.0,0.0032,0.243,1.087,0.018,-0.018,0.017,-0.017
70.0,0.005,0.155,0.984,0.015,-0.015,0.015,-0.015
70.0,0.008,0.097,0.815,0.013,-0.013,0.011,-0.011
70.0,0.013,0.06,0.708,0.013,-0.013,0.012,-0.012
70.0,0.021,0.037,0.62,0.011,-0.011,0.01,-0.01
70.0,0.032,0.024,0.557,0.012,-0.012,0.016,-0.016
70.0,0.05,0.016,0.5,0.008,-0.008,0.031,-0.031
90.0,0.0021,0.475,1.236,0.025,-0.025,0.027,-0.027
90.0,0.0032,0.312,1.168,0.022,-0.022,0.02,-0.02
90.0,0.005,0.2,1.029,0.017,-0.017,0.017,-0.017
90.0,0.008,0.125,0.896,0.016,-0.016,0.013,-0.013
90.0,0.013,0.077,0.749,0.016,-0.016,0.012,-0.012
90.0,0.021,0.048,0.622,0.012,-0.012,0.012,-0.012
90.0,0.032,0.031,0.535,0.012,-0.012,0.016,-0.016
90.0,0.05,0.02,0.484,0.01,-0.01,0.03,-0.03
90.0,0.08,0.012,0.435,0.009,-0.009,0.012,-0.012
90.0,0.18,0.006,0.34,0.011,-0.011,0.018,-0.018
120.0,0.0021,0.634,1.317,0.029,-0.029,0.033,-0.033
120.0,0.0032,0.416,1.173,0.022,-0.022,0.023,-0.023
120.0,0.005,0.266,1.038,0.018,-0.018,0.019,-0.019
120.0,0.008,0.166,0.908,0.016,-0.016,0.013,-0.013
120.0,0.013,0.102,0.76,0.015,-0.015,0.014,-0.014
120.0,0.021,0.063,0.664,0.013,-0.013,0.012,-0.012
120.0,0.032,0.042,0.579,0.013,-0.013,0.013,-0.013
120.0,0.05,0.027,0.472,0.01,-0.01,0.024,-0.024
120.0,0.08,0.017,0.437,0.008,-0.008,0.021,-0.021
120.0,0.18,0.007,0.328,0.009,-0.009,0.029,-0.029
150.0,0.0032,0.52,1.194,0.025,-0.025,0.027,-0.027
150.0,0.005,0.333,1.037,0.02,-0.02,0.019,-0.019
150.0,0.008,0.208,0.887,0.016,-0.016,0.014,-0.014
150.0,0.013,0.128,0.805,0.017,-0.017,0.016,-0.016
150.0,0.021,0.079,0.661,0.013,-0.013,0.013,-0.013
150.0,0.032,0.052,0.574,0.014,-0.014,0.01,-0.01
150.0,0.05,0.033,0.515,0.011,-0.011,0.012,-0.012
150.0,0.08,0.021,0.431,0.009,-0.009,0.022,-0.022
150.0,0.18,0.009,0.326,0.009,-0.009,0.021,-0.021
200.0,0.0032,0.693,1.162,0.044,-0.044,0.037,-0.037
200.0,0.005,0.443,1.065,0.024,-0.024,0.022,-0.022
200.0,0.008,0.277,0.899,0.02,-0.02,0.016,-0.016
200.0,0.013,0.171,0.794,0.017,-0.017,0.012,-0.012
200.0,0.021,0.106,0.659,0.018,-0.018,0.012,-0.012
200.0,0.032,0.069,0.57,0.016,-0.016,0.011,-0.011
200.0,0.05,0.044,0.508,0.014,-0.014,0.012,-0.012
200.0,0.08,0.028,0.434,0.01,-0.01,0.012,-0.012
200.0,0.18,0.012,0.34,0.01,-0.01,0.013,-0.013
250.0,0.005,0.554,1.066,0.032,-0.032,0.031,-0.031
250.0,0.008,0.346,0.927,0.024,-0.024,0.016,-0.016
250.0,0.013,0.213,0.821,0.022,-0.022,0.015,-0.015
250.0,0.021,0.132,0.644,0.023,-0.023,0.012,-0.012
250.0,0.032,0.087,0.612,0.021,-0.021,0.014,-0.014
250.0,0.05,0.055,0.517,0.017,-0.017,0.009,-0.009
250.0,0.08,0.035,0.445,0.012,-0.012,0.023,-0.023
250.0,0.18,0.015,0.341,0.011,-0.011,0.019,-0.019
350.0,0.005,0.776,1.103,0.049,-0.049,0.039,-0.039
350.0,0.008,0.485,0.988,0.029,-0.029,0.021,-0.021
350.0,0.013,0.298,0.824,0.024,-0.024,0.014,-0.014
350.0,0.021,0.185,0.679,0.024,-0.024,0.013,-0.013
350.0,0.032,0.121,0.639,0.023,-0.023,0.013,-0.013
350.0,0.05,0.078,0.526,0.018,-0.018,0.01,-0.01
350.0,0.08,0.049,0.442,0.014,-0.014,0.011,-0.011
350.0,0.18,0.022,0.328,0.011,-0.011,0.005,-0.005
450.0,0.008,0.624,0.954,0.033,-0.033,0.023,-0.023
450.0,0.013,0.384,0.854,0.026,-0.026,0.015,-0.015
450.0,0.021,0.238,0.702,0.025,-0.025,0.011,-0.011
450.0,0.032,0.156,0.579,0.025,-0.025,0.01,-0.01
450.0,0.05,0.1,0.511,0.017,-0.017,0.008,-0.008
450.0,0.08,0.062,0.439,0.016,-0.016,0.01,-0.01
450.0,0.13,0.038,0.365,0.014,-0.014,0.008,-0.008
450.0,0.25,0.02,0.264,0.012,-0.012,0.02,-0.02
650.0,0.008,0.901,0.926,0.043,-0.043,0.03,-0.03
650.0,0.013,0.554,0.827,0.027,-0.027,0.016,-0.016
650.0,0.021,0.343,0.722,0.027,-0.027,0.012,-0.012
650.0,0.032,0.225,0.603,0.024,-0.024,0.011,-0.011
